Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	tree_length
0	-2361.393	-2432.231	70.8383	0.189243	0.0946253	0.0361965	0.105385	0.101898	0.132836	0.0645629	0.00310142	0.0446031	0.0412965	0.0871973	0.108869	0.0200094	0.0619726	0.0130983	0.0416999	0.0147801	0.0479434	0.0528821	0.0236921	0.0696348	0.0272692	0.0277493	0.0707741	0.0307005	0.00985521	0.00491237	0.0176983	0.0262584	0.0281106	0.0574861	0.0224377	0.0826005	0.261998	0.00325238	0.0475339	0.0328659	0.0393847	0.0255652	0.0168572	0.0186333	0.0010047	0.0193405	0.0196555	0.00975651	0.0126964	0.14968	0.0141371	0.0760626	0.0261515	0.00292472	0.504522	1.28903	0.15969	0.40873	0.756442	1.32198	2.4466	6.26213	1.326485	0.2283148	0.074538	0.0372705	0.0142569	0.0415085	0.0401349	0.0523209	0.0254297	0.00122157	0.017568	0.0162656	0.0343448	0.0428808	0.00788119	0.0244094	0.00515907	0.0164245	0.00582152	0.0188837	0.0208289	0.00933173	0.0274274	0.0107407	0.0109297	0.0278761	0.0120921	0.00388172	0.00193486	0.0069709	0.0103425	0.0110721	0.0226423	0.00883764	0.0325343	0.103194	0.00128103	0.0187224	0.0129451	0.0155126	0.0100695	0.00663964	0.00733917	0.000395726	0.00761773	0.00774181	0.00384284	0.00500081	0.0589551	0.00556823	0.0299591	0.0103004	0.00115197	2.538879
36	-2362.894	-2432.725	69.83169	0.171633	0.13832	0.0684537	0.0307244	0.0492079	0.185055	0.0629519	0.0254166	0.113401	0.0563984	0.0837916	0.241821	0.0397061	0.0396063	0.0073063	0.0182605	0.0189996	0.0823963	0.0729899	0.0326268	0.0377211	0.0251294	0.0177601	0.0663644	0.00848072	0.00691162	0.00738456	0.0285309	0.0147899	0.0426161	0.0498438	0.0485538	0.142067	0.431245	0.0575436	0.0282576	0.0169695	0.0208013	0.0605391	0.0777692	0.00904606	0.00490063	0.0273804	0.0550437	0.0270502	0.0410931	0.231434	0.0371798	0.119623	0.0203933	0.00913541	0.34838	1.38011	0.163914	0.413967	0.759452	1.31674	2.41565	6.10078	1.307609	0.14725	0.0518431	0.0417805	0.020677	0.00928053	0.0148636	0.0558974	0.0190151	0.00767728	0.0342536	0.0170356	0.0253099	0.0730439	0.0119935	0.0119634	0.00220692	0.00551573	0.00573899	0.0248884	0.0220472	0.00985518	0.011394	0.00759053	0.00536459	0.0200459	0.00256167	0.00208771	0.00223056	0.00861797	0.00446739	0.0128725	0.0150557	0.0146661	0.0429124	0.130261	0.0173815	0.00853543	0.00512578	0.0062832	0.0182863	0.0234908	0.00273243	0.00148028	0.00827045	0.0166264	0.00817072	0.0124125	0.0699064	0.0112305	0.0361331	0.00615994	0.00275942	3.310624
72	-2357.76	-2429.298	71.53753	0.124737	0.047753	0.0513501	0.0529773	0.0411315	0.112264	0.0590574	0.0140187	0.0727114	0.019314	0.0519137	0.125058	0.0278218	0.0149667	0.00709209	0.00296469	0.0116232	0.0506239	0.0137163	0.0247339	0.0125378	0.0261229	0.0208022	0.00779736	0.0240496	0.00320277	0.00637921	0.0304658	0.0325689	0.0180501	0.0164105	5.81456e-05	0.197734	0.00275174	0.0150463	0.0316695	0.0226323	0.00982127	0.0353364	0.0646857	0.06836	0.000823098	1.80145e-05	0.170739	0.0503114	0.0428345	0.0201273	0.0445795	0.0348005	0.0254954	0.0257137	0.502758	1.29006	0.127811	0.366666	0.731241	1.36754	2.72728	7.82405	1.487499	0.2273351	0.0627529	0.0240236	0.0258332	0.0266519	0.0206925	0.0564776	0.0297106	0.00705255	0.0365797	0.00971651	0.0261168	0.0629142	0.0139966	0.00752947	0.00356789	0.00149148	0.0058474	0.0254679	0.00690042	0.0124431	0.00630754	0.0131419	0.0104652	0.0039227	0.0120989	0.00161125	0.00320925	0.0153268	0.0163848	0.00908063	0.00825579	2.92519e-05	0.099476	0.00138435	0.0075695	0.0159323	0.0113859	0.00494089	0.0177771	0.0325421	0.0343906	0.000414085	9.06273e-06	0.0858956	0.0253107	0.0215492	0.0101256	0.0224271	0.0175075	0.0128263	0.012936	1.987754
108	-2353.283	-2424.654	71.37107	0.118844	0.108318	0.05481	0.0265177	0.102051	0.160411	0.0314135	0.0214895	0.0704683	0.0330119	0.050807	0.160029	0.0133856	0.0300335	0.0109383	0.0221914	0.022093	0.0311437	0.0352325	0.0251301	0.0274015	0.0191943	0.0209674	0.022167	0.0254083	0.00131426	0.00206618	0.0309475	0.0272281	0.0172319	0.0207998	0.000554611	0.191499	0.00833228	0.0244859	0.0457487	0.0504094	0.00580086	0.0195431	0.0307339	0.0874572	0.00452409	0.00845503	0.212465	0.0138507	0.0227329	0.0177528	0.000881475	0.0179124	0.06684	0.018697	0.437289	1.32825	0.135292	0.37698	0.737597	1.35575	2.65266	7.39144	1.446371	0.1920463	0.0542239	0.0494214	0.0250077	0.012099	0.0465622	0.0731895	0.0143328	0.00980485	0.0321521	0.0150621	0.0231813	0.073015	0.00610733	0.0137032	0.00499076	0.0101251	0.0100802	0.0142097	0.0160753	0.0114659	0.0125023	0.00875762	0.00956662	0.010114	0.0115929	0.000599646	0.00094272	0.0141202	0.0124231	0.00786229	0.00949018	0.000253048	0.0873737	0.00380171	0.011172	0.0208734	0.0229999	0.00264671	0.00891677	0.0140227	0.0399035	0.00206417	0.00385771	0.0969398	0.00631956	0.0103722	0.00809992	0.000402184	0.00817276	0.0304966	0.00853075	2.191721
144	-2357.161	-2429.626	72.46485	0.0465682	0.0378503	0.0167437	0.0275277	0.0377432	0.0701865	0.0119637	0.012422	0.0259811	0.0230646	0.0403693	0.0595526	0.0285243	0.0158571	0.00126883	0.0264822	0.0110438	0.0630892	0.018355	0.0122642	0.00683356	0.00840826	0.00273634	0.00681003	0.0109525	0.00234678	0.000658541	0.0119237	0.00812625	0.000964551	0.00870233	0.00977535	0.000235954	0.0112033	0.0376751	0.0209763	0.0028711	0.00981443	0.00517065	0.00261361	0.0411929	0.0206882	0.0213329	0.0143196	0.000975988	0.0114151	0.016764	0.0038801	0.090264	0.120559	0.0015409	0.500722	1.29125	0.0890652	0.307447	0.69214	1.4448	3.25259	11.2277	1.74866	0.2262062	0.0423891	0.0344536	0.0152411	0.0250573	0.0343561	0.0638879	0.01089	0.0113073	0.0236496	0.0209948	0.0367465	0.0542083	0.0259645	0.014434	0.00115497	0.0241056	0.0100527	0.0574276	0.0167078	0.0111636	0.00622031	0.0076537	0.00249078	0.00619889	0.00996959	0.00213618	0.000599443	0.0108536	0.007397	0.000877992	0.00792137	0.0088981	0.000214779	0.0101979	0.0342941	0.0190939	0.00261345	0.00893368	0.00470663	0.00237906	0.0374962	0.0188316	0.0194185	0.0130345	0.000888402	0.0103907	0.0152596	0.0035319	0.0821636	0.10974	0.00140261	1.098588
180	-2360.789	-2430.742	69.95283	0.155491	0.102342	0.0214729	0.0418653	0.0964636	0.187882	0.0621437	0.0716869	0.112708	0.0712579	0.0623888	0.228981	0.0288055	0.050859	0.0155117	0.0340781	0.0314253	0.0646494	0.0544715	0.0401069	0.0539794	0.0272214	0.0193987	0.0244925	0.0220792	0.000793495	0.000622361	0.033277	0.0100511	0.0266432	0.0228713	0.0152184	0.280273	0.000662669	0.0400266	0.0352621	0.123834	0.117468	0.0715567	0.0214181	0.102693	0.00733546	0.0293459	0.308681	0.0166181	0.0311569	0.036595	0.00693028	0.0402579	0.0418132	0.0780742	0.550575	1.26216	0.223646	0.481703	0.79622	1.25593	2.07597	4.47136	1.082935	0.2544587	0.0488774	0.0321706	0.00674984	0.0131601	0.0303226	0.0590593	0.0195344	0.0225343	0.0354289	0.0223994	0.0196115	0.0719787	0.0090548	0.0159872	0.00487599	0.0107122	0.00987831	0.0203221	0.0171227	0.0126073	0.016968	0.00855686	0.00609783	0.00769903	0.00694043	0.00024943	0.000195635	0.0104604	0.0031595	0.0083751	0.00718944	0.00478381	0.0881018	0.000208305	0.0125821	0.0110844	0.0389262	0.0369252	0.0224933	0.00673261	0.0322807	0.00230585	0.00922469	0.0970317	0.0052238	0.00979394	0.0115034	0.00217848	0.0126548	0.0131437	0.0245421	3.18124
216	-2366.438	-2437.376	70.93755	0.0950558	0.0467327	0.0491351	0.0555267	0.084567	0.094736	0.0914066	0.0127251	0.102008	0.0725004	0.0651596	0.223318	0.00909643	0.0158044	0.00264353	0.0374195	0.0149503	0.106379	0.0244582	0.0375884	0.0363832	0.0194286	0.025468	0.0269724	0.0165873	8.67134e-05	0.00175789	0.0359795	0.0106627	0.0120308	0.0278277	0.0218758	0.013139	0.204545	0.00487334	0.000640976	0.0624703	0.076265	0.054238	0.026196	0.00854816	0.0122855	0.0121238	0.0161506	0.292996	0.00333048	0.0430074	0.0456891	0.0312128	0.0310207	0.0207404	0.38236	1.36029	0.111356	0.342831	0.716067	1.39652	2.91689	8.98018	1.587151	0.1639676	0.0390254	0.0191862	0.0201725	0.0227966	0.0347192	0.0388941	0.0375272	0.00522432	0.0418796	0.0297652	0.0267514	0.0916837	0.00373456	0.00648854	0.00108531	0.0153627	0.00613787	0.0436741	0.0100414	0.015432	0.0149372	0.00797646	0.010456	0.0110736	0.00680996	3.56004e-05	0.000721705	0.0147715	0.00437761	0.00493928	0.0114247	0.00898117	0.00539424	0.0839762	0.00200076	0.000263154	0.0256473	0.0313108	0.0222675	0.0107548	0.00350946	0.00504386	0.00497746	0.00663067	0.12029	0.00136733	0.0176568	0.0187578	0.0128145	0.0127356	0.00851501	2.435743
252	-2361.254	-2431.1	69.84548	0.142174	0.131361	0.054412	0.075515	0.106719	0.218162	0.0860142	0.00567219	0.0601662	0.0621334	0.119603	0.19189	0.0139852	0.0173414	0.0136512	0.0428817	0.0162364	0.148409	0.0486366	0.0323475	0.037798	0.0194814	0.0200977	0.0372369	0.0389072	0.0154921	0.0170338	0.0184136	0.0135466	0.000589381	0.045952	0.0610328	0.00820256	0.260961	0.00213032	0.00112744	0.10614	0.0945623	0.0228838	0.0519823	0.0771648	0.0209149	0.00274886	0.031279	0.344911	0.0710111	0.0332576	0.0347602	0.0998119	0.0327248	0.0070862	0.333841	1.38859	0.129457	0.368962	0.732666	1.36488	2.71031	7.72456	1.478246	0.1402431	0.0442006	0.040839	0.0169162	0.023477	0.0331781	0.0678248	0.0267411	0.00176344	0.0187052	0.0193168	0.0371836	0.059657	0.00434787	0.00539131	0.00424404	0.0133316	0.00504778	0.0461391	0.0151207	0.0100566	0.0117511	0.00605662	0.00624822	0.0115766	0.0120959	0.00481635	0.00529568	0.00572466	0.00421152	0.000183234	0.0142861	0.0189746	0.00255011	0.0811307	0.000662299	0.000350511	0.0329979	0.0293987	0.0071144	0.0161609	0.0239899	0.00650228	0.000854599	0.00972439	0.10723	0.0220768	0.0103395	0.0108067	0.0310307	0.0101739	0.00220304	3.216551
288	-2362.834	-2433.568	70.73385	0.0995589	0.0823658	0.0717822	0.0939345	0.0492169	0.131388	0.0749414	0.00012544	0.105143	0.0512771	0.0934061	0.122492	0.0303744	0.0271528	0.032054	0.0338369	0.0255049	0.143896	0.0547652	0.0188601	0.042172	0.0329204	0.00733547	0.0226534	0.0198274	0.00845131	0.00339491	0.0244231	0.0743186	0.0111363	0.0435422	0.00450574	0.0367632	0.0363518	0.013406	0.17738	0.0723393	0.0229919	0.0607091	0.0519479	0.0106583	0.027834	0.0174504	0.0277493	0.0205082	0.23017	0.000211322	0.00105393	0.0577427	0.00952069	0.0369341	0.457048	1.31672	0.127466	0.366184	0.730941	1.3681	2.73087	7.8452	1.489451	0.2024811	0.039066	0.0323196	0.0281667	0.0368591	0.0193123	0.0515555	0.0294063	4.92214e-05	0.041257	0.0201207	0.0366517	0.0480649	0.0119186	0.0106545	0.0125777	0.0132773	0.0100079	0.0564634	0.0214894	0.00740055	0.0165479	0.0129177	0.00287837	0.00888897	0.00778008	0.00331622	0.00133213	0.00958342	0.029162	0.00436977	0.0170856	0.00176801	0.0144256	0.0142641	0.00526041	0.0696023	0.0283853	0.00902183	0.0238217	0.0203839	0.00418223	0.0109218	0.00684739	0.0108886	0.00804721	0.0903165	8.2921e-05	0.000413552	0.0226577	0.00373584	0.0144926	2.548478
324	-2373.264	-2442.502	69.23792	0.104961	0.206332	0.0352495	0.145333	0.102159	0.163528	0.111267	0.0512468	0.118653	0.0790002	0.0793727	0.226498	0.0576922	0.0389285	0.0158302	0.0506679	0.0430538	0.131145	0.0716043	0.0739719	0.0107823	0.0390219	0.0207209	0.0925447	0.0335309	0.0192077	0.0175323	0.0396067	0.0312471	0.00688196	0.0375473	0.00285171	0.249591	0.00985838	0.0974298	0.0321035	0.0349432	0.0476612	0.0197517	0.0195208	0.0439817	0.00110027	0.0149062	0.453145	0.0962479	0.0642105	0.118563	0.0578229	0.109119	0.0126104	0.00685504	0.43993	1.32671	0.250713	0.509304	0.810181	1.23429	1.96346	3.98862	1.000327	0.1934308	0.0280091	0.0550602	0.00940642	0.0387823	0.0272614	0.0436377	0.0296918	0.0136753	0.0316629	0.0210814	0.0211808	0.0604416	0.0153953	0.0103882	0.00422433	0.0135208	0.011489	0.0349963	0.0191078	0.0197396	0.00287729	0.0104131	0.00552942	0.0246958	0.00894781	0.00512563	0.00467852	0.0105691	0.00833836	0.00183647	0.0100196	0.000760985	0.0666039	0.00263073	0.0259994	0.00856689	0.00932467	0.0127185	0.00527079	0.00520917	0.0117366	0.000293609	0.00397776	0.120923	0.025684	0.0171347	0.0316388	0.0154302	0.0291187	0.00336511	0.00182928	3.74739
